City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,flin flon,54.7682,-101.865,13.91,88,100,2.57,CA,1685637039
298,teruel,40.6667,-0.6667,13.99,68,98,2.1,ES,1685637040
299,moriki,12.8741,6.4875,38.78,23,99,4.06,NG,1685637040
300,xai-xai,-25.0519,33.6442,24.41,76,79,3.18,MZ,1685637040
301,andergrove,-21.0833,149.1833,15.91,83,2,2.5,AU,1685637040
302,hithadhoo,-0.6,73.0833,27.87,74,96,2.06,MV,1685637040
303,omdurman,15.6445,32.4777,40.11,15,30,2.52,SD,1685637040
304,cortez,37.3489,-108.5859,14.42,63,40,3.6,US,1685637040
305,zykovo,55.9519,93.1461,11.41,54,97,2.13,RU,1685636874
306,hami,42.8,93.45,22.69,12,63,3.5,CN,1685637040
307,camana,-16.6228,-72.7111,20.37,68,2,3.17,PE,1685637040
308,richards bay,-28.783,32.0377,17.44,67,35,2.05,ZA,1685637040
309,richfield,44.8833,-93.283,30.21,54,20,5.14,US,1685637040
310,susuman,62.7833,148.1667,5.13,82,99,1.8,RU,1685637041
311,okhotsk,59.3833,143.3,8.24,91,100,0.95,RU,1685637041
312,obudu,6.6674,9.1716,28.89,72,75,2.78,NG,1685637041
313,castillos,-34.1667,-53.8333,20.98,61,15,2.83,UY,1685637041
314,la passe,45.5549,-0.8967,27.13,69,75,1.43,FR,1685637041
315,lompoc,34.6391,-120.4579,15.01,84,100,2.06,US,1685637041
316,charlottetown,46.2352,-63.1267,29.25,49,100,3.13,CA,1685637041
317,tahe,52.3333,124.7333,8.3,96,100,1.89,CN,1685637041
318,barclayville,4.6797,-8.2339,27.55,78,92,3.98,LR,1685637042
319,kirensk,57.7853,108.1119,8.51,93,52,1.08,RU,1685637042
320,rapla,59.0072,24.7928,9.84,51,39,4.36,EE,1685637042
321,lata,40.1629,-8.3327,21.62,55,44,4.61,PT,1685637042
322,khovd,48.0056,91.6419,9.33,64,100,2.99,MN,1685637042
323,ciutadella,40.0011,3.8414,21.45,68,53,3.84,ES,1685637042
324,papao,-17.75,-149.55,22.82,64,49,3.7,PF,1685637042
325,tefe,-3.3542,-64.7114,29.06,70,75,1.03,BR,1685637042
326,bouafle,6.9904,-5.7442,22.01,66,100,2.79,CI,1685637042
327,grajau,-5.8194,-46.1386,32.83,44,4,1.69,BR,1685637042
328,port elizabeth,-33.918,25.5701,15.73,86,0,1.54,ZA,1685636523
329,lander,42.833,-108.7307,18.77,48,20,1.54,US,1685637042
330,kaffrine,14.1059,-15.5508,35.87,32,100,4.25,SN,1685637043
331,lincoln,40.8,-96.667,27.78,73,75,6.17,US,1685636980
332,chios,38.3678,26.1358,23.92,60,20,2.06,GR,1685637043
333,sitka,57.0531,-135.33,8.94,71,100,4.12,US,1685637043
334,abaete,-19.16,-45.4458,26.29,48,19,2.13,BR,1685636854
335,verkhnyaya sinyachikha,57.976,61.6673,19.04,75,29,2.73,RU,1685637043
336,itupiranga,-5.1347,-49.3267,34.18,47,6,2.26,BR,1685637043
337,ilulissat,69.2167,-51.1,9.01,53,75,3.09,GL,1685637043
338,constantia,44.1833,28.65,24.38,64,19,4.8,RO,1685636770
339,prieska,-29.6641,22.7474,14.0,39,2,0.56,ZA,1685637043
340,minas de marcona,-15.2119,-75.1103,19.21,58,1,3.63,PE,1685637043
341,general cabrera,-32.8131,-63.8724,23.9,59,41,6.53,AR,1685637043
342,hiratacho,35.4333,132.8167,20.01,97,100,1.79,JP,1685637043
343,makhambet,47.6667,51.5833,23.38,60,24,7.6,KZ,1685637044
344,kailua-kona,19.6406,-155.9956,24.72,82,0,2.06,US,1685637044
345,alto barinas,8.5931,-70.2261,29.15,71,84,1.07,VE,1685637044
346,sinjai,-5.1241,120.253,25.01,87,88,0.91,ID,1685637044
347,tayoltita,24.0833,-105.9333,30.21,24,0,3.13,MX,1685637044
348,khash,28.2211,61.2158,25.84,35,99,7.22,IR,1685637044
349,dalandzadgad,43.5708,104.425,10.28,63,6,2.9,MN,1685637044
350,nuku'alofa,-21.1333,-175.2,23.19,83,40,4.12,TO,1685637044
351,bogale,16.2833,95.4,28.32,71,46,3.45,MM,1685637044
352,powell river,49.8496,-124.5361,16.0,71,20,2.57,CA,1685637044
353,turpan,42.9333,89.1667,28.21,21,100,8.08,CN,1685637044
354,qaqortoq,60.7167,-46.0333,4.15,84,100,1.36,GL,1685636809
355,alta,69.9689,23.2717,5.59,70,75,9.26,NO,1685637045
356,comodoro rivadavia,-45.8667,-67.5,11.92,47,0,1.54,AR,1685637045
357,namdrik,5.5994,168.1028,28.1,78,95,3.46,MH,1685637045
358,rumbek,6.802,29.6912,26.46,65,88,4.17,SS,1685637045
359,mantua,45.1667,10.7833,28.58,48,13,0.89,IT,1685637045
360,brisas de zicatela,15.8369,-97.0419,31.29,70,0,2.06,MX,1685637045
361,tromso,69.6496,18.957,6.01,61,75,2.06,NO,1685636522
362,baise city,23.8997,106.6133,24.64,91,93,0.64,CN,1685637045
363,naifaru,5.4444,73.3657,28.63,78,100,7.71,MV,1685637045
